sentiment,category
0.2023,nonprofit
0.2023,nonprofit
0.4199,nonprofit
0.1007,nonprofit
0.623,nonprofit
0.6369,nonprofit
0.3182,nonprofit
0.4404,nonprofit
0.4404,nonprofit
0.0,nonprofit
0.8816,nonprofit
-0.25,nonprofit
-0.25,nonprofit
0.8975,nonprofit
-0.25,nonprofit
0.0,nonprofit
0.4767,nonprofit
0.5106,nonprofit
0.1779,nonprofit
0.8087,nonprofit
0.6486,nonprofit
-0.6597,nonprofit
-0.8109,nonprofit
0.0,nonprofit
0.7351,nonprofit
0.8176,nonprofit
0.0,nonprofit
0.4019,nonprofit
0.4019,nonprofit
0.7096,nonprofit
0.3919,nonprofit
0.3919,nonprofit
-0.4215,nonprofit
-0.4215,nonprofit
0.3182,nonprofit
0.0,nonprofit
0.683,nonprofit
-0.4215,nonprofit
0.683,nonprofit
-0.4215,nonprofit
0.9201,nonprofit
0.3612,nonprofit
0.4215,nonprofit
0.9411,nonprofit
-0.296,nonprofit
-0.296,nonprofit
-0.7772,nonprofit
0.4019,nonprofit
0.126,nonprofit
0.6166,nonprofit
0.9526,nonprofit
0.8625,nonprofit
0.6908,nonprofit
0.6166,nonprofit
0.4278,nonprofit
0.8555,nonprofit
0.6166,nonprofit
0.4278,nonprofit
0.946,nonprofit
0.8555,nonprofit
0.6037,nonprofit
0.6166,nonprofit
0.4278,nonprofit
0.7177,nonprofit
0.6166,nonprofit
0.4278,nonprofit
0.8842,nonprofit
0.7096,nonprofit
0.7133,nonprofit
0.0,nonprofit
0.6808,nonprofit
0.6808,nonprofit
0.7378,nonprofit
0.6808,nonprofit
0.0,nonprofit
0.7096,nonprofit
0.5962,nonprofit
0.969,nonprofit
0.9894,nonprofit
0.9831,nonprofit
0.9322,nonprofit
0.8689,nonprofit
0.9168,nonprofit
0.9787,nonprofit
0.9787,nonprofit
0.9611,nonprofit
0.969,nonprofit
0.938,nonprofit
0.9476,nonprofit
0.836,nonprofit
-0.5267,nonprofit
-0.4912,nonprofit
0.9701,nonprofit
0.9583,nonprofit
0.9583,nonprofit
0.9538,nonprofit
0.9729,nonprofit
0.8593,nonprofit
0.8023,nonprofit
0.6239,nonprofit
0.658,nonprofit
0.986,nonprofit
0.8975,nonprofit
0.2263,nonprofit
0.2263,nonprofit
0.7906,nonprofit
0.8658,nonprofit
0.8439,nonprofit
0.9752,nonprofit
0.9785,nonprofit
0.9785,nonprofit
0.6597,nonprofit
0.7717,nonprofit
0.9638,nonprofit
0.9708,nonprofit
0.9605,nonprofit
0.9834,nonprofit
0.9894,nonprofit
0.9831,nonprofit
0.99,nonprofit
0.743,nonprofit
0.9781,nonprofit
0.9709,nonprofit
0.9359,nonprofit
0.9359,nonprofit
0.9286,nonprofit
0.9474,nonprofit
0.9551,nonprofit
0.8932,nonprofit
0.8164,nonprofit
0.0,nonprofit
0.7269,nonprofit
-0.5423,nonprofit
-0.5423,nonprofit
-0.5423,nonprofit
0.5849,nonprofit
0.9872,nonprofit
0.4588,nonprofit
0.2023,nonprofit
0.7773,nonprofit
0.4019,nonprofit
0.2263,nonprofit
0.4019,nonprofit
0.34,nonprofit
0.1779,nonprofit
0.9866,nonprofit
0.9322,nonprofit
0.8774,nonprofit
0.6933,nonprofit
0.6688,nonprofit
-0.4574,nonprofit
0.4019,nonprofit
0.0,nonprofit
0.5719,nonprofit
0.2023,nonprofit
0.2023,nonprofit
0.8781,nonprofit
0.3786,nonprofit
0.9067,nonprofit
0.9507,nonprofit
0.8689,nonprofit
0.9578,nonprofit
0.978,nonprofit
0.962,nonprofit
0.4926,nonprofit
0.5707,nonprofit
-0.3164,nonprofit
0.9868,nonprofit
0.9205,nonprofit
0.9186,nonprofit
0.8176,nonprofit
0.837,nonprofit
0.9286,nonprofit
0.9168,nonprofit
0.0,nonprofit
0.0,nonprofit
0.717,nonprofit
0.8547,nonprofit
0.93,nonprofit
0.9442,nonprofit
-0.9507,nonprofit
0.836,nonprofit
0.9583,nonprofit
0.9583,nonprofit
-0.9987,nonprofit
